Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
ACPSPEF_n,Augmented Care Period Specialty Function Code,String(3),Y,1997-98 to 2005-06,,"The main specialty of the consultant clinically managing the period of augmented care. This consultant is not necessarily the same as the one responsible for the hospital episode. Where a patient is cared for by a team of specialists within an Intensive Care rota, this field contains the specialty of the team's clinical director. Where there are several specialties involved but none is considered responsible, this field contains the specialty of the consultant admitting the patient to the period of augmented care. If no specific consultant or team can be identified as organising the care associated with the ACP, then this should be the same as for the related consultant episode.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","100 = General surgery 
101 = Urology
110 = Trauma and orthopaedics
120 = Ear, nose and throat (ENT)
130 = Ophthalmology
140 = Oral surgery
141 = Restorative dentistry
142 = Paediatric dentistry (available from 1999-2000)
143 = Orthodontics
145 = Oral and maxillo facial surgery (available from 2004-05)
146 = Endodontics (available from 2004-05)
147 = Periodontics (available from 2004-05)
148 = Prosthodontics (available from 2004-05) 
149 = Surgical dentistry (available from 2004-05)
150 = Neurosurgery
160 = Plastic surgery
170 = Cardiothoracic surgery
171 = Paediatric surgery
180 = Accident and emergency (A&E)
190 = Anaesthetics 
191 = Pain management (available from 1998-99 to 2003-04)
192 = Critical care medicine (available from 2004-05)
199 = Non-UK Provider - specialty function not known, treatment mainly surgical
300 = General medicine
301 = Gastroenterology
302 = Endocrinology
303 = Clinical haematology
304 = Clinical physiology
305 = Clinical pharmacology
310 = Audiological medicine 
311 = Clinical genetics
312 = Clinical cytogenics and molecular genetics (available from 1990-91)
313 = Clinical immunology and allergy (available from 1991-92)
314 = Rehabilitation (available from 1991-92)
315 = Palliative medicine
320 = Cardiology
321 = Paediatric cardiology (available from 2004-05)
330 = Dermatology
340 = Respiratory medicine (also known as thoracic medicine)
350 = Infectious diseases
352 = Tropical medicine (available from 2004-05)
360 = Genito-urinary medicine
361 = Nephrology
370 = Medical oncology
371 = Nuclear medicine 
400 = Neurology
401 = Clinical neuro-physiology
410 = Rheumatology
420 = Paediatrics
421 = Paediatric neurology
430 = Geriatric medicine
450 = Dental medicine (available from 1990-91)
 460 = Medical ophthalmology (available from 1993-94)
499 = Non-UK Provider - specialty function not known, treatment mainly medical
501 = Obstetrics (prior to 2004-05: Obstetrics for patients using a hospital bed or delivery facilities) 
502 = Gynaecology
560 = Midwifery (available from October 1995)
600 = General Medical Practice
601 = General Dental Practice
610 = General practice with maternity function (available to 2003-04)
620 = General practice other than maternity (available to 2003-04)
700 = Learning disability (previously known as mental handicap) 
710 = Mental illness
711 = Child and adolescent psychiatry
712 = Forensic psychiatry
713 = Psychotherapy
715 = Old age psychiatry (available from 1990-91)
800 = Clinical oncology (previously Radiotherapy)
810 = Radiology
820 = General pathology
821 = Blood transfusion 
822 = Chemical pathology
823 = Haematology
824 = Histopathology
830 = Immunopathology
831 = Medical microbiology
832 = Neuropathology (available to 2003-04)
900 = Community medicine
901 = Occupational medicine
902 = Community health services - dental (available from 2004-05)
903 = Public health medicine (available from 2004-05)
904 = Public health dental (available from 2004-05)
950 = Nursing episode (available from 2002-03)
960 = Allied health professional episode (available from 2006-07)
Null = Other maternity event
& = Not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACPSTAR_n,Augmented Care Period Start Date,Date(YYYY-MM-DD),Y,1997-98 to 2005-06,,"The start date of a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","YYYY-MM-DD = Date period started
Null = Not applicable/ not known",,,AHAS_FLAT.dbo.HES_APC_ACP,,
ACSCFLAG,Ambulatory Care Sensitive Condition Flag,Number,,2007-08 onwards,,"This flag indicates whether the episode contains a diagnosis which is ambulatory care sensitive, and is derived on finished episodes where the admission method is ‘emergency’. ","1 = Episode contains a diagnosis that is ambulatory care sensitive
0 = Episode does not contain a diagnosis that is ambulatory care sensitive",RULE_0591,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ACTIVAGE,Age at Activity Date,Number,,2007-08 onwards,,"The patient's age, in completed years, on the activity date (the activity date on finished birth, general, and delivery episode is the Episode End Date (EPIEND); on other birth events and other delivery events it is the delivery date; on psychiatric census records it is the census date; on unfinished birth, general and delivery episodes it is the Episode Start Date (EPISTART)). This field is submitted by the provider.","max 3n = Age at activity date 
999 = Not known, i.e. date of birth not known and age cannot be estimated",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ADMIAGE,Age on Admission,Number,,2007-08 onwards,,"The patient's age, in completed years, on the Admission Date (ADMIDATE). This field is submitted by the provider.","max n3 = Age on admission
999 = Not known, e.g. date of birth not known and age cannot be estimated",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ADMIDATE,Admission Date (Hospital Provider Spell),Date(YYYY-MM-DD),,1989-90 onwards,,The date the patient was admitted to hospital at the start of a hospital spell. ADMIDATE is recorded on all episodes within the spell.,"YYYY-MM-DD = Date of admission
1800-01-01 = Null
1801-01-01 = invalid date submitted",RULE_0035a,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ADMIMETH,Method of Admission,String(2),,1989-90 onwards,,A code to identify how the patient was admitted to hospital. ADMIMETH is recorded on the first and also all subsequent episodes within the spell (i.e. where the spell is made up of more than one episode).,"Elective Admission, when the decision to admit could be separated in time from the actual admission: 
11 = Waiting list. A Patient admitted electively from a waiting list having been given no date of admission at a time a decision was made to admit
12 = Booked. A Patient admitted having been given a date at the time the decision to admit was made, determined mainly on the grounds of resource availability
 13 = Planned. A Patient admitted, having been given a date or approximate date at the time that the decision to admit was made. This is usually part of a planned sequence of clinical care determined mainly on social or clinical criteria (e.g. check cystoscopy)"". A planned admission is one where the date of admission is determined by the needs of the treatment, rather than by the availability of resources.

Note that this does not include a transfer from another Hospital Provider (see 81 below).

Emergency Admission, when admission is unpredictable and at short notice because of clinical need: 

21 = Emergency Care Department or acute or emergency dental service
22 = General Practitioner:  after a request for immediate admission has been made direct to a Hospital Provider, i.e. not through a Bed bureau, by a GP or deputy
23 = Bed bureau 
24 = Consultant Clinic, of this or another Health Care Provider  
25 = Admission via Mental Health Crisis Resolution Team (available from 2013/14)
2A = Emergency Care Department of another provider where the patient had not been admitted (available from 2013/14)
2B = Transfer of an admitted patient from another Hospital Provider in an emergency (available from 2013/14)
2C = Baby born at home as intended (available from 2013/14)
2D = Other emergency admission (available from 2013/14)
28 = Other means, examples are:
- admitted from the Accident and Emergency Department of another provider where they had not been admitted
- transfer of an admitted PATIENT from another Hospital Provider in an emergency
- baby born at home as intended (retired on 2022-23)

Maternity Admission, of a pregnant or recently pregnant woman to a maternity ward (including delivery facilities) except when the intention is to terminate the pregnancy:

31 = Admitted ante-partum 
32 = Admitted post-partum 

Other Admission not specified above:

82 = The birth of a baby in this Health Care Provider  
83 = Baby born outside the Health Care Provider except when born at home as intended. 
81 = Transfer of any admitted patient from other Hospital Provider other than in an emergency
84 = Admission by Admissions Panel of a High Security Psychiatric Hospital, patient not entered on the HSPH Admissions Waiting List (available between 1999 and 2006)
89 = HSPH Admissions Waiting List of a High Security Psychiatric Hospital (available between 1999 and 2006)
98 = Not applicable (available from 1996/97)
99 = Method of admission not known","RULE_0070,
RULE_0320",,AHAS_FLAT.dbo.AHAS_HES_APC,,
ADMINCAT,Administrative Category Code on Admission,String(2),,1989-90 onwards,,The administrative category of the patient at the start of the hospital provider spell,"01 = NHS patient, including overseas visitors charged under the  National Health Service (Overseas Visitors Hospital Charging Regulations)
02 = Private patient, one who uses accommodation or services authorised under the National Health Service Act 2006  
03 = Amenity patient, one who pays for the use of a single room or small ward in accordance with the National Health Service Act 2006  
04 = Category II patient, one for whom work is undertaken by hospital medical or dental staff within category II as defined in paragraph 37 of the Terms and Conditions of Service of Hospital Medical and Dental Staff
98 = Not applicable
99 = Administravite category not known",RULE_0125,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ADMINCATST,Administrative Category Code at Start of Episode,String(2),Y,2007-08 to 2014-15 (phasing out from 2012-13),,"The administrative category of the patient at the start of the episode of care. This may change during a spell as the patient may, for example, opt to change from NHS to private health care.

For the administrative category at the start of the spell, see ADMINCAT","01 = NHS patient
02 = Private patient 
03 = Amenity patient 
04 = Category II patient 
98 = Not applicable
99 = Administrative category not known",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ADMISORC,Source of Admission,String(2),,1989-90 onwards,,"A code to identify where the patient was immediately prior to admission. Most patients are admitted from home, but there are some significant exceptions. In particular, this field differentiates between patients admitted from home and patients transferred from another hospital provider or institution.","19 = The usual place of residence, unless listed below, for example, a private dwelling whether owner occupied or owned by Local Authority, housing association or other landlord. This includes wardened accommodation but not residential accommodation where health care is provided. It also includes patients with no fixed abode.
29 = Temporary place of residence when usually resident elsewhere, for example, hotels and residential educational establishments
30 = Repatriation from high security psychiatric hospital (1999-00 to 2006-07)  
37 = Court (1999-00 to 2006-07 and from 2022-23)
38 = Penal establishment: police station (1999-00 to 2006-07)
39 = Penal establishment, court or police station /  police custody suite (retired in 2022-23)
40 = Penal establishment (available from 2022-23)
41 = Court (retired in 2022-23)
42 = Police Station / Police Custody Suite
48 = High security psychiatric hospital, Scotland (1999-00 to 2006-07)
49 = NHS other hospital provider: high security psychiatric accommodation in an NHS hospital provider (NHS trust or NHS Foundation Trust)
50 = NHS other hospital provider: medium secure unit (1999-00 to 2006-07)
51 = NHS other hospital provider: ward for general patients or the younger physically disabled or Emergency and Care department
52 = NHS other hospital provider: ward for maternity patients or neonates
53 = NHS other hospital provider: ward for patients who are mentally ill or have learning disabilities
54 = NHS run care home (retired in 2022-23)
55 = Care Home with Nursing
56 = Care Home without Nursing
65 = Local authority residential accommodation i.e. where care is provided (retired in 2022-23)
66 = Local authority foster care, but not in residential accommodation i.e. where care is provided
69 = Local authority home or care (1989-90 to 1995-96)
79 = Babies born in or on the way to hospital
85 = Non-NHS (other than local authority) run care home (retired in 2022-23)
86 = Non-NHS (other than local authority) run nursing home
87 = Independent Sector Healthcare Provider run hospital
88 = Hospice
89 = Non-NHS institution (1989-90 to 1995-96)
98 = Not applicable
99 = Admission Source Not known",RULE_0080,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ADMISTAT,Psychiatric History on Admission,String(1),,1996-97 onwards,,"A code which identifies previous psychiatric care for psychiatric patients. It applies only to patients admitted or transferred to a consultant in one of the psychiatric specialties during a spell in hospital. It is recorded for the first such consultant episode but not for subsequent psychiatric consultant episodes or any non-psychiatric episodes. This field is used to indicate the turnover for psychiatric patients, and identify first time psychiatric admissions and re-admissions. Where a patient has a history of admission to several hospital providers, priority is given to the current hospital provider (code 1), regardless of whether the preceding admission was to the same hospital provider. This field replaced special (UK NHS specific) diagnosis codes commencing U69 (1 April 1989 to 31 March 1995) and U51 (1 April 1995 to 31 March 1996), and also the HES derived V code indicator (VIND) data item.","0 = No known previous hospital provider spell with a consultant episode having a psychiatric specialty within any health care provider.
1 = One or more previous hospital provider spells with a consultant episode having a psychiatric specialty within this health care provider.
2 = One or more previous hospital provider spells with a consultant episode having a psychiatric specialty within another health care provider, but none with this healthcare provider. 
8 = Not applicable: the patient is not receiving admitted patient care under a consultant in a psychiatric specialty.
9 = Not known: the patient is receiving admitted patient care under a consultant in a psychiatric specialty but the information is not available.",RULE_0380,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
AEKEY,A&E Record Identifier,"String(12) (2013-14 to 2020-21)
String(19) (2021-22 onwards)
",,2013-14 onwards,,"This field is present on A&E and APC linked records only. Linkage between these two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets. 

AEKEY represents the record identifier of the A&E attendance that the APC episode has been linked to.

The methodology used to link A&E and APC records is currently under review","12n (2013-14 to 2020-21); 19n (2021-22 onwards) = Record identifier of the A&E attendance
",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
ALCBRDDIAG,Alcohol Related Diagnosis Code - Broad Definition,String(4),,2004-05 onwards,,Provides the broad definition (primary and secondary) alcohol related diagnosis.,"ann or annn = Alcohol related diagnosis - broad
Null = Not applicable",,RULE_8102,AHAS_FLAT.dbo.AHAS_HES_APC,,
ALCBRDFRAC,Alcohol Attributable Fraction - Broad Definition,String(17),,2004-05 onwards,,Indicates the highest alcohol attributable fraction within an episode based on the broad definition (primary and secondary) alcohol related diagnosis. ,"n.nnnnnnnnnnnnnnn = Highest alcohol attributable fraction within the episode (primary and secondary diagnoses)
Prior to 2020/21 the 15th decimal place was not always matching the alcohol fractions in the reference data (due to rounding). This is fixed from 2020/21 onwards.",,RULE_8102,AHAS_FLAT.dbo.AHAS_HES_APC,,
ALCDIAG,Principal Alcohol Related Diagnosis,String(10),Y,2002-03 to 2020-21,,"Indicates the diagnosis code with the highest alcohol attributable fraction.  Where this applies to more than one code, the code that appears earliest in the sequence of diagnosis fields is used. Where no alcohol attributable diagnosis is present this field will be null.

Updated alcohol diagnosis reference data was released around 2014. ALCDIAG is derived using the alcohol diagnosis reference data that was in place prior to this date. Alcohol diagnosis data derived using the updated reference data can be found in the fields ALCBRDDIAG and ALCNRWDIAG - both of these fields have been derived back to 2004-05 in HES.",max  6an = Principal alcohol related diagnosis,,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,
AHAS_FLAT.dbo.AHAS_HES_APC",,Y
ALCDIAG_4,Principal Alcohol Related Diagnosis - 4 Characters,String(4),Y,2002-03 to 2020-21,,The first four characters of the principal alcohol related diagnosis (ALCDIAG).,"4an = Principal alcohol related diagnosis (4 characters)
Null = Not applicable",RULE_8100,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,Y
ALCFRAC,Principal Alcohol Related Fraction,String(17),Y,2002-03 to 2020-21,,"The highest alcohol attributable fraction within the episode based on the principal alcohol related diagnosis. 

Updated alcohol fractions reference data was released around 2014. ALCFRAC is derived using the alcohol fractions reference data that was in place prior to this date. Alcohol fractions data derived using the updated reference data can be found in the fields ALCBRDFRAC and ALCNRWFRAC - both of these fields have been derived back to 2004-05 in HES.",n.nn = Highest alcohol attributable fraction within the episode,,,AHAS_FLAT.dbo.AHAS_HES_APC,,Y
ALCNRWDIAG,Alcohol Related Diagnosis Code - Narrow Definition,String(4),,2004-05 onwards,,The narrow (primary diagnosis and external causes of injury) alcohol related diagnosis.,"ann or annn = Alcohol related diagnosis - narrow
Null = Not applicable",,RULE_8102,AHAS_FLAT.dbo.AHAS_HES_APC,,
ALCNRWFRAC,Alcohol Attributable Fraction - Narrow Definition,String(17),,2004-05 onwards,,The highest alcohol attributable fraction within an episode based on the narrow definition (primary diagnosis and external causes of injury) alcohol related diagnosis.,"n.nnnnnnnnnnnnnnn = highest alcohol attributable fraction within the episode (primary and external cause diagnoses)
Prior to 2020/21 the 15th decimal place was not always matching the alcohol fractions in the reference data (due to rounding). This is fixed from 2020/21 onwards.",,RULE_8102,AHAS_FLAT.dbo.AHAS_HES_APC,,
ANAGEST,Gestation Period in Weeks at First Antenatal Assessment,Number,,1989-90 onwards,,"Gestation period in weeks at the date of the first antenatal assessment. This field is calculated from ANASDATE, GESTAT and DOBBABY.","2n = The gestation period in weeks
Null = Not valid / not known",,RULE_0790,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
ANASDATE,First Antenatal Assessment Date,Date(YYYY-MM-DD),,1989-90 onwards,,"The date when a pregnant patient was first assessed and arrangements were made for antenatal care. This is not necessarily the date when delivery arrangements were made.

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). ","YYYY-MM-DD = Date of first antenatal assessment  
1800-01-01 = Null
1801-01-01 = Invalid date submitted",RULE_0788,,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
ANTEDUR,Antenatal Days of Stay,Number,,1989-90 onwards,,"This derived field contains the number of days between the start of the episode (EPISTART) and the date of delivery of the first baby (DOBBABY). 

This field is populated on delivery and birth episodes only (where the EPITYPE is 2 or 3). ","3n = The number of days of stay from 0 to 270  
Null = Not applicable / not known",,RULE_0800,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
AT_GP_PRACTICE,Area Team of GP Practice ,String(3),Y,2010-11 to 2020-21,,"The Area Team (AT) where the patient’s GP practice is registered. It is derived from the GP Practice Code (GPPRAC)

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS England region of the GP practice can be found in the field NER_GP_PRACTICE. ","ann = Area Team of patient’s GP practice
Y = Unknown",RULE_1126,,AHAS_FLAT.dbo.AHAS_HES_APC,,
AT_RESIDENCE,Area Team of Residence ,String(3),Y,2010-11 to 2020-21,,"The Area Team (AT) where the patient lives. It is derived from the CCG of Residence (CCG_RESIDENCE).

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS region of residence can be found in the field NER_RESIDENCE.","ann = Area Team of residence
S = Scotland
U = England (not otherwise specified)
W = Wales
X = Foreign
Y = Not known
Z = Northern Ireland",RULE_1201,,AHAS_FLAT.dbo.AHAS_HES_APC,,
AT_TREATMENT,Area Team of Treatment ,String(3),Y,2010-11 to 2020-21,,"The Area Team (AT) where the patient was treated. It is derived from the CCG of Treatment (CCG_TREATMENT).

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS England region of treatment can be found in the field NER_TREATMENT.","ann = Area Team of treatment
Y = Unknown
",RULE_1147,,AHAS_FLAT.dbo.AHAS_HES_APC,,
BEDYEAR,Bed Days Within the Year,Number,,1989-90 onwards,,"This derived field provides the duration of an episode in days within the HES data year. It is derived from the Episode Start Date (EPISTART) and Episode End Date (EPIEND). For episodes that both start and finish in the data year, BEDYEAR will have the same value as EPIDUR (Episode Duration). If the episode is unfinished, BEDYEAR is calculated from EPISTART and the end of the data year. If EPISTART is before the beginning of the data year, BEDYEAR is calculated from the start of the data year and EPIEND. If the record type is other maternity events (EPITYPE 5 or 6), BEDYEAR is null.","nnn = The number of days of stay from 0 to 366  
Null = Not applicable (other maternity event / not known)",,RULE_0240,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
BIRESUS_n,Resuscitation Method,String(1),,1989-90 onwards,,"The method used to get the baby breathing normally.

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). It is populated for each baby on multiple birth delivery episodes.","1 = Positive pressure nil, drugs nil  
2 = Positive pressure nil, drugs administered  
3 = Positive pressure by mask, drugs nil  
4 = Positive pressure by mask, drugs administered  
5 = Positive pressure by endotracheal tube, drugs nil  
6 = Positive pressure by endotracheal tube, drugs administered  
8 = Not applicable (e.g. stillborn, where no method of resuscitation was attempted)
9 = Resuscitation Method Not known","RULE_0710, 
RULE_0753,
RULE_0770",,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
BIRORDR_n,Birth Order ,String(1),,1989-90 onwards,,"The sequence in which the baby was born (with 1 indicating the first or only birth in the sequence, 2 indicating the second birth in the sequence etc.). 

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). It is populated for each baby on multiple birth delivery episodes.","1 to 7 = The sequence in which the baby was born
8 = Not applicable
9 = Birth Order not known (submitted value)
X = Not known (derived in HES where the field is null)","RULE_0720,
RULE_0770",,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
BIRSTAT_n,Birth Status,String(1),,1989-90 onwards,,"An indication of whether the birth was a live or stillbirth. A stillbirth is a birth after a gestation of 24 weeks (168) days where the baby shows no identifiable signs of life when delivered. 

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). It is populated for each baby on multiple birth delivery episodes.","1 = Live  
2 = Still birth: ante-partum  
3 = Still birth: intra-partum  
4 = Still birth: indeterminate  
9 = Not known","RULE_0710, 
RULE_0753
RULE_0770",,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
BIRWEIT_n,Birth Weight ,Number,,1989-90 onwards,,"The weight of the baby in grams immediately after birth.

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). It is populated for each baby on multiple birth delivery episodes.","max 4n = Weight in grams from 0010 to 6999
7000 = 7000g or more
9999 = Not known","RULE_0740, 
RULE_0760
RULE_0770",,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
BOOKREFNO,Unique Booking Reference Number,Number,,,Yes,"The booking reference number assigned by the Choose and Book system when a patient accepts an appointment date, regardless of whether they subsequently attend or cancel the appointment. Each booking reference number is unique. This field is unavailable for use, and is null in all years.

Either this field or the patient pathway identifier (PATPATHID) should be populated if the record relates to a referral to treatment period. BOOKREFNO will only be populated where the Choose and Book system was used, otherwise PATPATHID will be populated.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field. ",12n = Unique booking reference number,,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
